name,strokes,frequency,grade,jlpt
工,3,299,grade 2,N4
場,12,52,grade 2,N4
煙,13,1290,junior high,N3
止,4,310,grade 2,N4
知,8,205,grade 2,N4
所,8,221,grade 3,N3
降,10,596,grade 6,N3
途,10,717,junior high,N3
端,14,960,junior high,N1
出,5,13,grade 1,N5
来,7,102,grade 2,N5
猫,11,1702,junior high,N3
私,7,242,grade 6,N4
毒,8,1419,grade 4,N2
鳴,14,1279,grade 2,N3
買,12,520,grade 2,N4
物,8,215,grade 3,N4
袋,11,1125,junior high,N2
捨,11,1266,grade 6,N2
銀,14,395,grade 3,N4
色,6,621,grade 2,N4
脳,11,459,grade 6,N2
不,4,101,grade 4,N4
安,6,144,grade 3,N4
満,12,515,grade 4,N3
腹,13,1286,grade 6,N3
減,12,261,grade 5,N2
普,12,757,junior high,N2
段,9,479,grade 6,N3
通,10,80,grade 2,N4
取,8,122,grade 3,N3
熟,15,1415,grade 6,N1
小,3,114,grade 1,N5
慣,14,1177,grade 5,N3
繰,19,872,junior high,N1
返,7,685,grade 3,N3
演,14,267,grade 5,N3
遠,13,887,grade 2,N3
上,3,35,grade 1,N5
肌,6,1559,junior high,N2
泡,8,1872,junior high,N1
汚,6,908,junior high,N2
吸,6,1054,grade 6,N3
味,8,442,grade 3,N4
読,14,618,grade 2,N5
孤,9,1239,junior high,N1
独,9,365,grade 5,N1
立,5,58,grade 1,N4
生,5,29,grade 1,N5
映,9,404,grade 6,N4
願,19,894,grade 4,N3
翼,17,1201,junior high,N1
背,9,696,grade 6,N3
中,4,11,grade 1,N5
鳥,11,1043,grade 2,N4
白,5,483,grade 1,N5
期,12,117,grade 3,N3
待,9,391,grade 3,N4
引,4,218,grade 2,N3
用,5,107,grade 2,N4
持,9,119,grade 3,N4
言,7,83,grade 2,N4
葉,12,414,grade 3,N3
空,8,304,grade 1,N4
気,6,113,grade 1,N5
雨,8,950,grade 1,N5
娘,10,1145,junior high,N3
恋,10,1296,junior high,N2
泥,8,1589,junior high,N2
棒,12,1455,grade 6,N2
素,10,660,grade 5,N1
直,8,246,grade 2,N3
乗,9,377,grade 3,N3
波,8,740,grade 3,N2
離,19,555,junior high,N1
力,2,62,grade 1,N4
馬,10,639,grade 2,N3
鹿,11,957,junior high,N1
死,6,229,grade 3,N4
数,13,148,grade 2,N3
十,2,8,grade 1,N5
億,15,716,grade 4,N2
鼓,13,1795,junior high,N1
動,11,73,grade 3,N4
瞬,18,1265,junior high,N1
程,12,514,grade 5,N3
度,9,110,grade 3,N4
事,8,18,grade 3,N4
等,12,798,grade 3,N3
級,9,785,grade 3,N1
過,12,285,grade 5,N3
去,5,440,grade 3,N4
囚,5,2107,junior high,N1
未,5,650,grade 4,N3
嘆,13,1584,junior high,N1
一,1,2,grade 1,N5
誤,14,1150,grade 6,N3
算,14,361,grade 2,N2
許,11,720,grade 5,N3
必,5,265,grade 4,N3
然,12,401,grade 4,N3
限,9,405,grade 5,N3
広,5,263,grade 2,N4
夢,13,943,grade 5,N3
描,11,876,junior high,N1
僕,14,1236,junior high,N1
達,12,500,grade 4,N3
虚,11,1454,junior high,N1
栄,9,920,grade 4,N2
権,15,156,grade 6,N3
利,7,203,grade 4,N3
有,6,282,grade 3,N4
二,2,9,grade 1,N5
針,10,505,grade 6,N2
示,5,237,grade 5,N3
残,10,380,grade 4,N3
酷,14,1596,junior high,N1
約,9,94,grade 4,N3
定,8,48,grade 3,N3
選,15,57,grade 4,N3
択,7,847,junior high,N1
秒,9,1015,grade 3,N2
世,5,135,grade 3,N4
界,9,158,grade 3,N4
線,15,382,grade 2,N2
超,12,597,junior high,N2
君,7,947,grade 3,N3
笑,10,913,grade 4,N3
顔,18,676,grade 2,N3
守,6,457,grade 3,N3
悲,12,1014,grade 3,N3
時,10,16,grade 2,N5
間,12,33,grade 2,N5
飲,12,969,grade 3,N4
込,5,675,junior high,N3
観,18,476,grade 4,N3
測,12,761,grade 5,N2
者,8,38,grade 3,N4
命,8,465,grade 3,N3
主,5,95,grade 3,N4
張,11,403,grade 5,N1
意,13,99,grade 3,N4
証,12,306,grade 5,N1
明,8,67,grade 2,N4
退,9,424,grade 5,N3
屈,8,1434,junior high,N1
足,7,343,grade 1,N4
滑,13,1238,junior high,N1
支,4,159,grade 5,N3
配,10,359,grade 3,N3
愚,13,1551,junior high,N1
種,14,461,grade 4,N3
族,11,393,grade 3,N4
稚,13,1560,junior high,N1
拙,8,1938,junior high,N1
理,11,86,grade 2,N4
並,8,599,grade 6,N2
信,9,208,grade 4,N3
愛,13,640,grade 4,N3
彼,8,648,junior high,N3
方,4,46,grade 2,N4
仮,6,1039,grade 5,N1
想,13,381,grade 3,N3
自,6,19,grade 2,N4
由,5,325,grade 3,N3
慈,13,1811,junior high,N1
刻,8,866,grade 6,N3
日,4,1,grade 1,N5
否,7,561,grade 6,N3
輝,15,1259,junior high,N1
仲,6,919,grade 4,N2
束,7,918,grade 4,N3
欺,12,1541,junior high,N1
仕,5,439,grade 3,N4
掛,11,1027,junior high,N3
迷,9,942,grade 5,N3
